val_loss,val_accuracy,loss,accuracy
30729370.3872,0.7192000150680542,31130929.165866666,0.71745
30551256.6112,0.72079998254776,30948534.2976,0.7183833
30379635.4368,0.7214000225067139,30772925.2,0.7194667
30217457.0848,0.7226999998092651,30605353.796266668,0.72061664
30058972.4224,0.7236999869346619,30444573.470933333,0.7215833
29911392.4512,0.7242000102996826,30289163.018666666,0.72235
29764183.1904,0.7250999808311462,30138076.450133335,0.72325
29625644.5664,0.7261999845504761,29990199.96906667,0.72388333
29494589.5008,0.7268000245094299,29851064.6304,0.7248833
29368167.9328,0.7269999980926514,29718515.0784,0.7256167
29244740.5824,0.7276999950408936,29588669.7824,0.72643334
29125196.016,0.7289999723434448,29462256.005333334,0.72728336
29011310.7456,0.7297999858856201,29341533.755733334,0.7282
28901878.0896,0.7311999797821045,29224362.667733334,0.7288167
28794820.4256,0.7318000197410583,29109661.888,0.72968334
28689085.0624,0.732699990272522,28999248.760533333,0.7303333
28588653.3376,0.7328000068664551,28893704.766933333,0.73115
28489770.496,0.7336999773979187,28790393.5008,0.7318
28397204.448,0.7340999841690063,28693199.226666667,0.73225
28304507.264,0.7342000007629395,28595367.201066665,0.7327667
28229049.2448,0.7347999811172485,28502766.682666667,0.73315
28142518.6496,0.7350999712944031,28417138.453333333,0.7338167
28055817.3184,0.7358999848365784,28327851.1424,0.73441666
27975579.8592,0.7365000247955322,28241555.380266666,0.73476666
27892007.4752,0.7373999953269958,28156844.578133333,0.7353167
27816824.7072,0.7379000186920166,28072989.2128,0.73575
27737703.4656,0.7382000088691711,27993216.507733334,0.73635
27663179.3792,0.7387999892234802,27916229.91253333,0.7366167
27596054.9824,0.7390999794006348,27841942.661333334,0.73715
27518130.432,0.7398999929428101,27768570.904533334,0.7378833
27450195.616,0.7408999800682068,27697570.423466668,0.73825
